session_id,user_id,session_start,session_end,platform,country
s_2819,1075,2025-12-24 13:00:00,2025-12-24 13:18:00,web,US
s_5217,1945,2025-12-09 03:00:00,2025-12-09 03:11:00,web,IN
s_7927,2935,2025-12-03 19:00:00,2025-12-03 19:13:00,desktop,SG
s_3246,1228,2025-11-08 18:00:00,2025-11-08 18:06:00,web,CA
s_7521,2785,2025-12-12 20:00:00,2025-12-12 20:15:00,desktop,US
s_555,209,2025-12-11 01:39:00,2025-12-11 01:55:00,desktop,US
s_2647,1019,2025-12-21 23:59:00,2025-12-22 00:10:00,desktop,US
s_4240,1574,2025-12-14 19:00:00,2025-12-14 19:12:00,web,AU
s_6315,2339,2025-11-07 03:57:00,2025-11-07 04:10:00,web,US
s_7460,2763,2025-11-27 15:00:00,2025-11-27 15:13:00,desktop,SG
s_2883,1097,2025-12-18 18:51:00,2025-12-18 19:08:00,desktop,DE
s_5843,2184,2025-11-10 13:00:00,2025-11-10 13:08:00,web,US
s_1678,652,2025-11-27 21:19:00,2025-11-27 21:25:00,web,US
s_4042,1508,2025-12-14 20:11:00,2025-12-14 20:16:00,web,AU
s_5111,1907,2025-12-22 23:00:00,2025-12-22 23:12:00,web,IN
s_7154,2659,2025-12-03 07:47:00,2025-12-03 07:50:00,web,US
s_1384,538,2025-11-12 08:06:00,2025-11-12 08:26:00,desktop,GB
s_7766,2873,2025-12-20 10:51:00,2025-12-20 11:01:00,desktop,CA
s_5702,2129,2025-12-16 16:00:00,2025-12-16 16:04:00,desktop,IN
s_6413,2375,2025-11-30 00:00:00,2025-11-30 00:14:00,web,US
s_3908,1468,2025-11-28 00:35:00,2025-11-28 00:39:00,web,IN
s_1079,409,2025-12-18 21:00:00,2025-12-18 21:09:00,web,GB
s_5776,2159,2025-12-17 09:39:00,2025-12-17 09:47:00,desktop,US
s_3820,1435,2025-12-21 21:06:00,2025-12-21 21:14:00,desktop,SG
s_5228,1948,2025-11-28 21:37:00,2025-11-28 21:42:00,web,IN
s_3612,1358,2025-12-22 08:50:00,2025-12-22 08:56:00,web,AU
s_3870,1452,2025-11-28 05:00:00,2025-11-28 05:09:00,desktop,AU
s_2346,903,2025-12-08 03:49:00,2025-12-08 04:06:00,desktop,US
s_6657,2470,2025-12-24 13:01:00,2025-12-24 13:11:00,web,AU
s_5247,1956,2025-12-19 18:00:00,2025-12-19 18:02:00,web,IN
s_6582,2442,2025-12-05 18:16:00,2025-12-05 18:20:00,web,IN
s_2174,835,2025-11-21 11:00:00,2025-11-21 11:19:00,web,IN
s_5958,2220,2025-12-14 22:07:00,2025-12-14 22:15:00,web,IN
s_2311,883,2025-11-25 10:37:00,2025-11-25 10:46:00,desktop,US
s_3990,1494,2025-11-22 23:39:00,2025-11-22 23:51:00,desktop,CA
s_4491,1678,2025-11-24 12:27:00,2025-11-24 12:31:00,desktop,IN
s_7869,2912,2025-10-31 18:17:00,2025-10-31 18:22:00,web,CA
s_2677,1030,2025-12-12 01:00:00,2025-12-12 01:04:00,web,SG
s_1028,389,2025-12-06 08:00:00,2025-12-06 08:11:00,web,IN
s_7677,2840,2025-12-16 15:32:00,2025-12-16 15:41:00,desktop,US
s_2971,1128,2025-11-16 04:00:00,2025-11-16 04:15:00,web,IN
s_6437,2387,2025-12-13 22:29:00,2025-12-13 22:46:00,web,DE
s_7653,2830,2025-11-03 16:56:00,2025-11-03 17:06:00,web,US
s_6483,2406,2025-11-26 13:00:00,2025-11-26 13:05:00,desktop,IN
s_6622,2458,2025-12-04 09:13:00,2025-12-04 09:22:00,web,US
s_5199,1940,2025-11-05 09:48:00,2025-11-05 10:02:00,web,JP
s_801,303,2025-12-14 16:30:00,2025-12-14 16:36:00,web,IN
s_7931,2938,2025-11-26 08:00:00,2025-11-26 08:03:00,desktop,AU
s_7123,2645,2025-11-10 04:21:00,2025-11-10 04:56:00,desktop,IN
s_2190,841,2025-12-10 23:22:00,2025-12-10 23:28:00,web,IN
s_2604,1005,2025-12-22 11:26:00,2025-12-22 11:34:00,web,US
s_4938,1840,2025-12-22 08:15:00,2025-12-22 08:23:00,web,DE
s_2413,925,2025-12-18 13:17:00,2025-12-18 13:29:00,web,JP
s_6046,2251,2025-12-22 05:06:00,2025-12-22 05:12:00,web,IN
s_4081,1523,2025-11-11 12:00:00,2025-11-11 12:07:00,web,JP
s_5036,1876,2025-12-19 08:57:00,2025-12-19 09:07:00,web,SG
s_6764,2503,2025-11-24 04:00:00,2025-11-24 04:07:00,desktop,BR
s_5701,2129,2025-12-16 03:13:00,2025-12-16 03:25:00,desktop,IN
s_8034,2977,2025-12-11 20:00:00,2025-12-11 20:05:00,desktop,US
s_5503,2058,2025-12-03 21:15:00,2025-12-03 21:29:00,web,DE
s_3366,1272,2025-12-16 10:55:00,2025-12-16 11:08:00,web,IN
s_7446,2759,2025-12-10 21:16:00,2025-12-10 21:22:00,desktop,SG
s_4646,1735,2025-12-09 12:00:00,2025-12-09 12:07:00,web,US
s_5412,2019,2025-12-21 16:23:00,2025-12-21 16:27:00,desktop,BR
s_2374,913,2025-11-28 11:00:00,2025-11-28 11:05:00,web,US
s_1262,488,2025-11-10 04:00:00,2025-11-10 04:10:00,desktop,IN
s_587,220,2025-12-14 10:00:00,2025-12-14 10:06:00,web,IN
s_5971,2226,2025-12-20 23:08:00,2025-12-20 23:21:00,desktop,US
s_5499,2058,2025-11-27 15:53:00,2025-11-27 15:57:00,web,DE
s_4095,1528,2025-11-24 13:50:00,2025-11-24 14:00:00,web,IN
s_3195,1211,2025-12-09 11:55:00,2025-12-09 12:04:00,web,BR
s_1407,546,2025-11-25 08:59:00,2025-11-25 09:03:00,web,US
s_7965,2951,2025-12-11 02:00:00,2025-12-11 02:03:00,web,JP
s_749,284,2025-11-20 02:25:00,2025-11-20 02:38:00,web,SG
s_234,93,2025-12-19 07:35:00,2025-12-19 07:47:00,desktop,DE
s_7214,2677,2025-11-12 19:00:00,2025-11-12 19:06:00,desktop,IN
s_1747,680,2025-12-14 02:54:00,2025-12-14 03:11:00,desktop,IN
s_454,174,2025-11-11 22:58:00,2025-11-11 23:12:00,web,SG
s_1727,672,2025-12-24 16:07:00,2025-12-24 16:14:00,desktop,US
s_240,96,2025-12-03 22:42:00,2025-12-03 22:49:00,web,DE
s_4398,1645,2025-12-20 07:55:00,2025-12-20 08:02:00,web,SG
s_264,105,2025-12-18 13:00:00,2025-12-18 13:13:00,web,SG
s_7900,2924,2025-11-18 02:53:00,2025-11-18 03:18:00,web,US
s_1177,448,2025-12-06 12:00:00,2025-12-06 12:14:00,web,SG
s_6880,2544,2025-12-04 15:20:00,2025-12-04 15:35:00,web,GB
s_6192,2300,2025-12-10 19:20:00,2025-12-10 19:28:00,web,JP
s_6435,2386,2025-11-25 08:00:00,2025-11-25 08:04:00,web,US
s_7197,2673,2025-12-12 06:53:00,2025-12-12 07:09:00,desktop,US
s_1480,578,2025-12-19 03:00:00,2025-12-19 03:09:00,web,GB
s_8055,2985,2025-11-22 08:00:00,2025-11-22 08:03:00,web,BR
s_5338,1987,2025-12-04 09:00:00,2025-12-04 09:21:00,web,BR
s_6549,2431,2025-11-26 11:00:00,2025-11-26 11:05:00,desktop,BR
s_430,165,2025-10-30 23:00:00,2025-10-30 23:10:00,web,CA
s_677,254,2025-11-26 20:27:00,2025-11-26 20:37:00,desktop,CA
s_3396,1284,2025-11-24 19:26:00,2025-11-24 19:29:00,web,CA
s_4921,1831,2025-12-24 20:00:00,2025-12-24 20:07:00,desktop,US
s_7132,2649,2025-12-03 02:50:00,2025-12-03 03:01:00,desktop,SG
s_1075,408,2025-12-13 00:09:00,2025-12-13 00:23:00,desktop,US
s_6001,2237,2025-12-16 19:00:00,2025-12-16 19:04:00,desktop,US
s_4253,1579,2025-11-26 15:00:00,2025-11-26 15:02:00,web,SG
s_3529,1330,2025-11-20 10:00:00,2025-11-20 10:10:00,desktop,GB
s_1633,638,2025-12-24 05:38:00,2025-12-24 05:43:00,web,SG
s_5333,1985,2025-11-29 04:48:00,2025-11-29 04:59:00,web,IN
s_7181,2668,2025-11-30 13:00:00,2025-11-30 13:08:00,web,IN
s_743,282,2025-12-23 19:07:00,2025-12-23 19:14:00,web,US
s_534,202,2025-11-13 06:04:00,2025-11-13 06:16:00,web,IN
s_3128,1188,2025-11-10 06:46:00,2025-11-10 06:56:00,desktop,IN
s_4218,1566,2025-11-16 14:00:00,2025-11-16 14:08:00,desktop,IN
s_3354,1267,2025-11-15 15:00:00,2025-11-15 15:03:00,desktop,SG
s_3626,1363,2025-11-26 15:00:00,2025-11-26 15:21:00,desktop,US
s_2322,890,2025-12-18 11:43:00,2025-12-18 11:48:00,desktop,US
s_5614,2101,2025-12-17 20:00:00,2025-12-17 20:11:00,web,SG
s_6479,2406,2025-12-04 09:59:00,2025-12-04 10:07:00,desktop,IN
s_3413,1287,2025-12-10 10:15:00,2025-12-10 10:23:00,web,IN
s_5750,2150,2025-12-11 20:00:00,2025-12-11 20:08:00,web,US
s_94,34,2025-12-22 16:00:00,2025-12-22 16:13:00,desktop,US
s_1555,609,2025-11-29 21:06:00,2025-11-29 21:18:00,web,BR
s_7505,2782,2025-12-12 15:00:00,2025-12-12 15:09:00,desktop,US
s_4909,1826,2025-12-14 02:25:00,2025-12-14 02:31:00,web,US
s_1935,744,2025-12-24 14:44:00,2025-12-24 15:05:00,desktop,US
s_102,36,2025-12-09 12:28:00,2025-12-09 12:33:00,web,DE
s_7299,2709,2025-12-08 12:59:00,2025-12-08 13:11:00,web,SG
s_2474,947,2025-11-03 15:00:00,2025-11-03 15:04:00,desktop,SG
s_6158,2292,2025-11-19 02:13:00,2025-11-19 02:27:00,web,BR
s_4166,1548,2025-11-24 02:00:00,2025-11-24 02:19:00,desktop,BR
s_2843,1085,2025-12-20 17:00:00,2025-12-20 17:10:00,web,US
s_4520,1689,2025-11-27 01:00:00,2025-11-27 01:03:00,web,DE
s_2571,989,2025-12-06 23:49:00,2025-12-06 23:55:00,web,DE
s_2338,897,2025-12-22 04:38:00,2025-12-22 04:47:00,web,JP
s_5428,2027,2025-12-15 04:59:00,2025-12-15 05:05:00,web,GB
s_2111,812,2025-12-13 01:00:00,2025-12-13 01:13:00,web,IN
s_1145,438,2025-12-12 12:00:00,2025-12-12 12:05:00,web,IN
s_4105,1529,2025-12-08 21:00:00,2025-12-08 21:08:00,web,US
s_4206,1563,2025-12-08 00:00:00,2025-12-08 00:19:00,web,GB
s_319,123,2025-12-08 18:42:00,2025-12-08 18:47:00,desktop,BR
s_5545,2074,2025-12-15 17:00:00,2025-12-15 17:12:00,desktop,US
s_6798,2513,2025-12-24 12:25:00,2025-12-24 12:32:00,desktop,US
s_3827,1436,2025-11-12 06:54:00,2025-11-12 07:01:00,web,US
s_5844,2184,2025-12-19 07:28:00,2025-12-19 07:34:00,web,US
s_1748,681,2025-12-10 18:00:00,2025-12-10 18:11:00,desktop,IN
s_1453,566,2025-12-02 02:00:00,2025-12-02 02:07:00,web,US
s_316,122,2025-12-18 03:00:00,2025-12-18 03:05:00,desktop,US
s_1618,632,2025-12-17 07:00:00,2025-12-17 07:07:00,web,GB
s_4882,1818,2025-12-07 15:00:00,2025-12-07 15:13:00,web,DE
s_3034,1155,2025-11-26 19:00:00,2025-11-26 19:08:00,web,IN
s_7286,2704,2025-11-13 17:20:00,2025-11-13 17:27:00,desktop,CA
s_3045,1157,2025-11-02 09:00:00,2025-11-02 09:09:00,web,BR
s_2185,839,2025-11-25 19:00:00,2025-11-25 19:18:00,desktop,US
s_458,174,2025-11-06 01:00:00,2025-11-06 01:24:00,web,SG
s_3405,1286,2025-12-19 21:47:00,2025-12-19 21:53:00,web,IN
s_519,196,2025-12-02 01:16:00,2025-12-02 01:22:00,web,DE
s_1124,427,2025-12-08 19:33:00,2025-12-08 19:42:00,desktop,IN
s_3297,1242,2025-12-07 06:00:00,2025-12-07 06:10:00,web,AU
s_6382,2364,2025-11-19 14:00:00,2025-11-19 14:05:00,desktop,BR
s_7482,2774,2025-12-10 23:03:00,2025-12-10 23:09:00,web,DE
s_1872,725,2025-11-23 17:00:00,2025-11-23 17:10:00,web,US
s_2125,816,2025-12-04 16:50:00,2025-12-04 16:58:00,web,BR
s_1512,591,2025-12-12 11:44:00,2025-12-12 11:49:00,web,US
s_4505,1681,2025-12-02 10:43:00,2025-12-02 10:53:00,desktop,BR
s_4086,1525,2025-12-05 18:42:00,2025-12-05 18:46:00,web,IN
s_4311,1604,2025-11-12 02:00:00,2025-11-12 02:12:00,desktop,BR
s_1923,738,2025-12-10 23:00:00,2025-12-10 23:06:00,web,IN
s_8074,2992,2025-12-20 08:59:00,2025-12-20 09:07:00,desktop,IN
s_3048,1158,2025-12-16 06:00:00,2025-12-16 06:06:00,desktop,US
s_4607,1722,2025-12-08 23:03:00,2025-12-08 23:08:00,web,US
s_5819,2174,2025-12-25 11:35:00,2025-12-25 11:41:00,desktop,US
s_5909,2206,2025-12-18 16:00:00,2025-12-18 16:08:00,web,JP
s_737,282,2025-11-11 18:00:00,2025-11-11 18:02:00,web,US
s_3510,1320,2025-12-02 06:49:00,2025-12-02 06:56:00,web,US
s_1741,678,2025-12-04 17:57:00,2025-12-04 18:08:00,desktop,IN
s_2751,1052,2025-11-22 16:00:00,2025-11-22 16:14:00,desktop,IN
s_3249,1229,2025-12-26 10:00:00,2025-12-26 10:12:00,web,GB
s_1062,403,2025-12-08 18:04:00,2025-12-08 18:28:00,web,JP
s_697,263,2025-12-09 15:04:00,2025-12-09 15:19:00,desktop,US
s_4561,1706,2025-12-24 05:15:00,2025-12-24 05:20:00,desktop,US
s_933,353,2025-11-30 03:00:00,2025-11-30 03:08:00,web,IN
s_5736,2142,2025-12-22 19:16:00,2025-12-22 19:21:00,desktop,IN
s_3025,1152,2025-12-12 13:00:00,2025-12-12 13:04:00,desktop,DE
s_4077,1522,2025-12-20 18:00:00,2025-12-20 18:14:00,web,AU
s_1881,728,2025-12-23 16:57:00,2025-12-23 17:05:00,web,JP
s_5329,1984,2025-12-04 18:46:00,2025-12-04 18:50:00,desktop,CA
s_1481,579,2025-12-22 13:12:00,2025-12-22 13:35:00,web,DE
s_2307,882,2025-11-30 04:00:00,2025-11-30 04:06:00,desktop,BR
s_2035,784,2025-11-21 12:04:00,2025-11-21 12:10:00,desktop,AU
