event_date,feature,unique_users
2025-10-27,auth,2
2025-10-27,collaboration,1
2025-10-27,comments,2
2025-10-27,components,2
2025-10-27,editor,2
2025-10-27,file_create,1
2025-10-27,file_open,2
2025-10-27,plugins,2
2025-10-27,sharing,1
2025-10-28,auth,4
2025-10-28,collaboration,1
2025-10-28,comments,1
2025-10-28,components,4
2025-10-28,editor,2
2025-10-28,file_open,4
2025-10-28,plugins,1
2025-10-28,versioning,1
2025-10-29,auth,11
2025-10-29,collaboration,4
2025-10-29,comments,5
2025-10-29,components,5
2025-10-29,editor,6
2025-10-29,export,4
2025-10-29,file_create,5
2025-10-29,file_open,11
2025-10-29,plugins,2
2025-10-29,sharing,3
2025-10-29,versioning,1
2025-10-30,auth,17
2025-10-30,collaboration,4
2025-10-30,comments,7
2025-10-30,components,4
2025-10-30,editor,8
2025-10-30,export,2
2025-10-30,file_create,5
2025-10-30,file_open,17
2025-10-30,plugins,4
2025-10-30,sharing,4
2025-10-30,versioning,1
2025-10-31,auth,35
2025-10-31,collaboration,8
2025-10-31,comments,19
2025-10-31,components,15
2025-10-31,editor,30
2025-10-31,export,11
2025-10-31,file_create,17
2025-10-31,file_open,35
2025-10-31,plugins,8
2025-10-31,sharing,12
2025-10-31,versioning,5
2025-11-01,auth,34
2025-11-01,collaboration,5
2025-11-01,comments,12
2025-11-01,components,10
2025-11-01,editor,22
2025-11-01,export,8
2025-11-01,file_create,13
2025-11-01,file_open,34
2025-11-01,plugins,7
2025-11-01,sharing,7
2025-11-01,versioning,5
2025-11-02,auth,43
2025-11-02,collaboration,10
2025-11-02,comments,18
2025-11-02,components,16
2025-11-02,editor,30
2025-11-02,export,11
2025-11-02,file_create,16
2025-11-02,file_open,43
2025-11-02,plugins,8
2025-11-02,sharing,11
2025-11-02,versioning,3
2025-11-03,auth,47
2025-11-03,collaboration,9
2025-11-03,comments,23
2025-11-03,components,13
2025-11-03,editor,32
2025-11-03,export,10
2025-11-03,file_create,19
2025-11-03,file_open,47
2025-11-03,plugins,13
2025-11-03,sharing,16
2025-11-03,versioning,4
2025-11-04,auth,55
2025-11-04,collaboration,17
2025-11-04,comments,29
2025-11-04,components,19
2025-11-04,editor,39
2025-11-04,export,19
2025-11-04,file_create,26
2025-11-04,file_open,55
2025-11-04,plugins,10
2025-11-04,sharing,16
2025-11-04,versioning,7
2025-11-05,auth,44
2025-11-05,collaboration,9
2025-11-05,comments,28
2025-11-05,components,9
2025-11-05,editor,32
2025-11-05,export,13
2025-11-05,file_create,20
2025-11-05,file_open,44
2025-11-05,plugins,15
2025-11-05,sharing,10
2025-11-05,versioning,3
2025-11-06,auth,56
2025-11-06,collaboration,14
2025-11-06,comments,27
2025-11-06,components,18
2025-11-06,editor,44
2025-11-06,export,16
2025-11-06,file_create,23
2025-11-06,file_open,56
2025-11-06,plugins,15
2025-11-06,sharing,9
2025-11-06,versioning,7
2025-11-07,auth,70
2025-11-07,collaboration,16
2025-11-07,comments,29
2025-11-07,components,26
2025-11-07,editor,56
2025-11-07,export,17
2025-11-07,file_create,24
2025-11-07,file_open,70
2025-11-07,plugins,15
2025-11-07,sharing,23
2025-11-07,versioning,10
2025-11-08,auth,58
2025-11-08,collaboration,12
2025-11-08,comments,28
2025-11-08,components,19
2025-11-08,editor,46
2025-11-08,export,22
2025-11-08,file_create,22
2025-11-08,file_open,59
2025-11-08,plugins,14
2025-11-08,sharing,18
2025-11-08,versioning,8
2025-11-09,auth,66
2025-11-09,collaboration,16
2025-11-09,comments,27
2025-11-09,components,20
2025-11-09,editor,53
2025-11-09,export,13
2025-11-09,file_create,22
2025-11-09,file_open,66
2025-11-09,plugins,19
2025-11-09,sharing,23
2025-11-09,versioning,8
2025-11-10,auth,63
2025-11-10,collaboration,19
2025-11-10,comments,33
2025-11-10,components,17
2025-11-10,editor,45
2025-11-10,export,17
2025-11-10,file_create,10
2025-11-10,file_open,63
2025-11-10,plugins,14
2025-11-10,sharing,21
2025-11-10,versioning,9
2025-11-11,auth,67
2025-11-11,collaboration,9
2025-11-11,comments,27
2025-11-11,components,17
2025-11-11,editor,48
2025-11-11,export,19
2025-11-11,file_create,25
2025-11-11,file_open,67
2025-11-11,plugins,16
2025-11-11,sharing,21
2025-11-11,versioning,7
2025-11-12,auth,77
2025-11-12,collaboration,23
